title,year,language,primary_genre,genres,director,lead_actor,has_love_triangle,review_notes
Vishwanath,1978,Hindi,action,"action, drama, romance, musical",Subhash Ghai,Shatrughan Sinha,True,Verify if romance subplot is significant enough to tag as has_romance
Mr. Natwarlal,1979,Hindi,action,"action, comedy, romance, drama, crime, musical",Rakesh Kumar,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Driver Ramudu,1979,Telugu,action,"action, comedy, drama, romance",K. Raghavendra Rao,N. T. Rama Rao,True,Verify if romance subplot is significant enough to tag as has_romance
Shaan,1980,Hindi,action,"action, adventure, crime, comedy, romance, thriller",Ramesh Sippy,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Johnny,1980,Tamil,action,"action, drama, romance",V. C. Sekhar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Murattu Kaalai,1980,Tamil,action,"action, comedy, romance, drama",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Nyayam Kavali,1980,Telugu,action,"action, drama, romance",N. Shankar,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Nootrukku Nooru,1981,Tamil,action,"action, drama, romance",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Kondaveeti Simham,1981,Telugu,action,"action, drama, romance",Vijaya Bapineedu,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Naseeb,1981,Hindi,action,"action, comedy, romance, drama, musical, adventure",Manmohan Desai,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Savaal,1981,Tamil,action,"action, romance, drama",S. P. Muthuraman,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Maga Maharaju,1981,Telugu,action,"action, drama, romance",K. Bapaiah,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Rocky,1981,Hindi,action,"action, romance, drama, musical",Sunil Dutt,Sanjay Dutt,False,Verify if romance subplot is significant enough to tag as has_romance
Ooriki Monagadu,1981,Telugu,action,"action, drama, romance",K. Raghavendra Rao,Krishna,True,Verify if romance subplot is significant enough to tag as has_romance
Bobbili Puli,1982,Telugu,action,"action, drama, romance",Dasari Narayana Rao,N. T. Rama Rao,True,Verify if romance subplot is significant enough to tag as has_romance
Khaidi,1983,Telugu,action,"action, drama, romance",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Coolie,1983,Hindi,action,"action, drama, comedy, romance",Manmohan Desai,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Velli Thirai,1983,Tamil,action,"action, drama, romance",Rajasekhar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Bhargava Ramudu,1983,Telugu,action,"action, drama, romance, family",Vijaya Bapineedu,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Thambikku Entha Ooru,1984,Tamil,action,"action, comedy, romance, drama",R. Sundarrajan,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Valaiyosai,1984,Tamil,action,"action, romance, drama, comedy",K. S. Gopalakrishnan,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Challenge,1984,Telugu,action,"action, drama, romance",Vijaya Bapineedu,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Nallavanukku Nallavan,1984,Tamil,action,"action, comedy, romance, drama, family",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Trisulam,1984,Telugu,action,"action, drama, romance",Dasari Narayana Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Mard,1985,Hindi,action,"action, adventure, drama, romance",Manmohan Desai,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Padikkadavan,1985,Tamil,action,"action, comedy, romance, drama",Rajasekhar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Aayanaki Iddaru,1985,Telugu,action,"action, comedy, romance, drama",S.P. Muthuraman,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Agni Parvatam,1985,Telugu,action,"action, romance, drama",K. Bapaiah,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Kothalo Rayi Gundello Pranam,1985,Telugu,action,"action, drama, romance, comedy",Dasari Narayana Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Prathighatana,1985,Telugu,action,"action, drama, romance",T. Raghunath,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Oomai Vizhigal,1986,Tamil,action,"action, drama, romance, thriller",P. Bharathiraja,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Eetti,1986,Tamil,action,"action, drama, romance",K. Bhagyaraj,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Mr. Bharath,1986,Tamil,action,"action, drama, romance",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Simhasanam,1986,Telugu,action,"action, drama, romance",K. Bapaiah,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Veta,1986,Telugu,action,"action, romance, drama",K. Bapaiah,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Nippulanti Manishi,1986,Telugu,action,"action, drama, romance",A. Kodandarami Reddy,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Sultanat,1986,Hindi,action,"action, romance, drama",Mukul Anand,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Nayakudu,1987,Telugu,action,"action, drama, romance",Raghavendra Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Jebu Donga,1987,Telugu,action,"action, comedy, romance, drama",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Velaikaran,1987,Tamil,action,"action, comedy, romance, drama",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Donga Mogudu,1987,Telugu,action,"action, drama, romance, comedy",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Pasivadi Pranam,1987,Telugu,action,"action, drama, romance, musical",K. Bapaiah,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Dacait,1987,Hindi,action,"action, drama, romance, crime",Rahul Rawail,Sunny Deol,False,Verify if romance subplot is significant enough to tag as has_romance
Pratigya,1987,Hindi,action,"action, drama, romance",Raj N. Sippy,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Brahma Nayudu,1987,Telugu,action,"action, drama, romance, family",A. Kodandarami Reddy,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Rettai Vaal Kuruvi,1987,Tamil,action,"action, comedy, romance, drama",Balu Mahendra,Mohan,True,Verify if romance subplot is significant enough to tag as has_romance
Tezaab,1988,Hindi,action,"action, romance, drama, thriller, musical",N. Chandra,Anil Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Soorasamharam,1988,Tamil,action,"action, drama, romance",P. Vasu,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Agni Natchathiram,1988,Tamil,action,"action, drama, romance, family",Mani Ratnam,Prabhu,True,Verify if romance subplot is significant enough to tag as has_romance
Aakhari Poratam,1988,Telugu,action,"action, drama, romance",K. Raghavendra Rao,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Dharmathin Thalaivan,1988,Tamil,action,"action, drama, romance",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Manchi Donga,1988,Telugu,action,"action, romance, drama, adventure",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Yateem,1988,Hindi,action,"action, drama, romance",J.P. Dutta,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Ram Lakhan,1989,Hindi,action,"action, drama, crime, romance, family",Subhash Ghai,Jackie Shroff,True,Verify if romance subplot is significant enough to tag as has_romance
Rajathi Raja,1989,Tamil,action,"action, comedy, romance, drama",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
State Rowdy,1989,Telugu,action,"action, drama, romance",A. Kodanda Rami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Vetri Vizha,1989,Tamil,action,"action, romance, drama, thriller",Prathap K. Pothen,Kamal Haasan,True,Verify if romance subplot is significant enough to tag as has_romance
Rajadhi Raja,1989,Tamil,action,"action, comedy, romance, drama",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Toofan,1989,Hindi,action,"action, romance, drama",Ketan Desai,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Rajadhiraja,1989,Telugu,action,"action, drama, romance, adventure",A. Kodandarami Reddy,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Thaai Naadu,1989,Tamil,action,"action, drama, romance",R. Aravindraj,Sathyaraj,True,Verify if romance subplot is significant enough to tag as has_romance
Keladi Kanmani,1990,Tamil,action,"action, comedy, romance, drama",Rajiv Menon,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Panakkaran,1990,Tamil,action,"action, comedy, romance, drama, family",S. P. Muthuraman,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Bobbili Raja,1990,Telugu,action,"action, comedy, romance, drama, family",Raghavendra Rao,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Kondaveeti Donga,1990,Telugu,action,"action, romance, drama, musical",Raghavendra Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Poru Gadu,1990,Telugu,action,"action, drama, romance",Dasari Narayana Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Baaghi: A Rebel for Love,1990,Hindi,action,"action, romance, drama",Deepak S. Shivdasani,Salman Khan,False,Verify if romance subplot is significant enough to tag as has_romance
Kodama Simham,1990,Telugu,action,"action, drama, romance",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Prema Khaidi,1990,Telugu,action,"action, romance, comedy, drama",A. Kodandarami Reddy,Chiranjeevi,False,Verify if romance subplot is significant enough to tag as has_romance
Aaj Ka Arjun,1990,Hindi,action,"action, drama, romance",K. Ravi Shankar,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Kishen Kanhaiya,1990,Hindi,action,"action, comedy, romance, drama",Rakesh Roshan,Anil Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Jagadeka Veerudu Athiloka Sundari,1990,Telugu,action,"action, fantasy, romance",K. Raghavendra Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Thalapathi,1991,Tamil,action,"action, drama, crime, romance",Mani Ratnam,Rajinikanth,False,Verify if romance subplot is significant enough to tag as has_romance
Hum,1991,Hindi,action,"action, drama, romance, musical",Mukul Anand,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Azhagan,1991,Tamil,action,"action, romance, drama, thriller",Mani Ratnam,Mammootty,True,Verify if romance subplot is significant enough to tag as has_romance
Gang Leader,1991,Telugu,action,"action, comedy, romance, drama, musical",K. Raghavendra Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Rowdy Alludu,1991,Telugu,action,"action, comedy, romance, drama, family",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Phool Aur Kaante,1991,Hindi,action,"action, romance, drama, thriller",Kuku Kohli,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Saugandh,1991,Hindi,action,"action, romance, thriller, crime",Raj N. Sippy,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Chaitanya,1991,Telugu,action,"action, romance, drama",Prathap K. Pothan,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Balaraju,1991,Telugu,action,"action, romance, drama, musical",K. Raghavendra Rao,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Gharana Mogudu,1992,Telugu,action,"action, comedy, romance, drama, family, musical",K. Raghavendra Rao,Chiranjeevi,False,Verify if romance subplot is significant enough to tag as has_romance
Annaamalai,1992,Tamil,action,"action, drama, romance, comedy",Suresh Krissna,Rajinikanth,False,Verify if romance subplot is significant enough to tag as has_romance
Mannan,1992,Tamil,action,"action, romance, comedy, drama",Rajasekhar,Rajinikanth,False,Verify if romance subplot is significant enough to tag as has_romance
Aapattbandavudu,1992,Telugu,action,"action, drama, romance",A. Kodanda Rami Reddy,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Golimaar,1992,Telugu,action,"action, drama, romance",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Khuda Gawah,1992,Hindi,action,"action, drama, romance, historical, adventure",Mukul S. Anand,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Jigar,1992,Hindi,action,"action, romance, drama",Farogh Siddique,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Deedar,1992,Hindi,action,"action, romance, drama",Pramod Chakravorty,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Killer,1992,Telugu,action,"action, romance, thriller",Fazil,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Annamalai,1992,Tamil,action,"action, drama, romance, comedy",Suresh Krissna,Rajinikanth,False,Verify if romance subplot is significant enough to tag as has_romance
Nishchaiy,1992,Hindi,action,"action, romance, drama",T. Rama Rao,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Aapadbandhavudu,1992,Telugu,action,"action, drama, romance, family",K.S. Ravi Kumar,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Jagadeka Veerudu Vikramarka,1992,Telugu,action,"action, comedy, romance, adventure, fantasy",Rajasekhar,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Vishwatma,1992,Hindi,action,"action, thriller, crime, romance",Rajiv Rai,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Chanti,1992,Telugu,action,"action, romance, comedy, drama",A. Kodandarami Reddy,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Sundarakanda,1992,Telugu,action,"action, drama, comedy, romance",P. Chandrasekhar Reddy,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Gentleman,1993,Tamil,action,"action, thriller, crime, romance",S. Shankar,Arjun,True,Verify if romance subplot is significant enough to tag as has_romance
Thiruda Thiruda,1993,Tamil,action,"action, comedy, romance, adventure, thriller",Mani Ratnam,Prashanth,True,Verify if romance subplot is significant enough to tag as has_romance
Ejaman,1993,Tamil,action,"action, drama, romance, family",V. Sekar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Valli,1993,Tamil,action,"action, romance, drama",Rajiv Menon,Vijayakanth,True,Verify if romance subplot is significant enough to tag as has_romance
Uzhaippali,1993,Tamil,action,"action, drama, romance, musical",K. S. Ravikumar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Mutha Mestri,1993,Telugu,action,"action, drama, romance",A. Kodanda Rami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Donga Alludu,1993,Telugu,action,"action, comedy, romance, drama",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Bangaru Bullodu,1993,Telugu,action,"action, comedy, romance, drama, family",K. Raghavendra Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Divya Shakti,1993,Hindi,action,"action, romance, drama",Sameer Malkan,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Platform,1993,Hindi,action,"action, drama, romance",Deepak Pawar,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Sangraam,1993,Hindi,action,"action, romance, drama",Mehul Kumar,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Bedardi,1993,Hindi,action,"action, romance, drama, thriller",Deepak Shivdasani,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Amaravathi,1993,Tamil,action,"action, romance, drama",Selvaa,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Dil Ki Baazi,1993,Hindi,action,"action, romance, thriller, drama",Anil Ganguly,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Waqt Hamara Hai,1993,Hindi,action,"action, comedy, romance",Bharat Rangachary,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Sainik,1993,Hindi,action,"action, romance, drama",Sikandar Bharti,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Rakshana,1993,Telugu,action,"action, romance, drama",Uppalapati Narayana Rao,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Varasudu,1993,Telugu,action,"action, comedy, romance, drama, family",E. V. V. Satyanarayana,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Yejaman,1993,Tamil,action,"action, drama, romance, family",R. V. Udayakumar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Sendhoorapandi,1993,Tamil,action,"action, drama, romance",R. V. Udayakumar,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Pembarolata,1993,Telugu,action,"action, romance, drama, musical",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Roop Ki Rani Choron Ka Raja,1993,Hindi,action,"action, romance, comedy, adventure",Satish Kaushik,Anil Kapoor,True,Verify if romance subplot is significant enough to tag as has_romance
Khalnayak,1993,Hindi,action,"action, drama, crime, romance, musical",Subhash Ghai,Sanjay Dutt,True,Verify if romance subplot is significant enough to tag as has_romance
Lootere,1993,Hindi,action,"action, adventure, romance, thriller",Priyadarshan,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Kshatriya,1993,Hindi,action,"action, drama, romance, family",J.P. Dutta,Sunny Deol,False,Verify if romance subplot is significant enough to tag as has_romance
Mohra,1994,Hindi,action,"action, thriller, romance, crime",Rajiv Rai,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Kadhalan,1994,Tamil,action,"action, romance, comedy, musical, drama",Shankar,Prabhu Deva,False,Verify if romance subplot is significant enough to tag as has_romance
Gharana Bullodu,1994,Telugu,action,"action, comedy, romance, drama, family",A. Kodandarami Reddy,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Allari Alludu,1994,Telugu,action,"action, comedy, romance, family",Kovelamudi Raghavendra Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Kondapalli Raja,1994,Telugu,action,"action, romance, comedy, drama",Suresh Krishna,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Suhaag,1994,Hindi,action,"action, drama, romance, family",Kuku Kohli,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Vijaypath,1994,Hindi,action,"action, romance, drama, thriller",Farogh Siddique,Ajay Devgn,False,Verify if romance subplot is significant enough to tag as has_romance
Jai Kishen,1994,Hindi,action,"action, romance, drama",Sunil Agnihotri,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Main Khiladi Tu Anari,1994,Hindi,action,"action, comedy, romance",Sameer Malkan,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Criminal,1994,Telugu,action,"action, thriller, romance, drama",Mahesh Bhatt,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Veera,1994,Tamil,action,"action, romance, comedy, drama",Suresh Krissna,Rajinikanth,False,Verify if romance subplot is significant enough to tag as has_romance
Vishnu,1994,Tamil,action,"action, comedy, romance, drama",K. S. Ravikumar,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Insaniyat,1994,Hindi,action,"action, drama, romance",T. Rama Rao,Amitabh Bachchan,True,Verify if romance subplot is significant enough to tag as has_romance
Imtihaan,1994,Hindi,action,"action, romance, drama, thriller",Partho Ghosh,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Karan Arjun,1995,Hindi,action,"action, drama, romance, fantasy, family",Rakesh Roshan,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Muthu,1995,Tamil,action,"action, comedy, romance, drama, musical",K. S. Ravikumar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Spadikam,1995,Malayalam,action,"action, drama, romance, family",Bhadran,Mohanlal,True,Verify if romance subplot is significant enough to tag as has_romance
Baasha,1995,Tamil,action,"action, drama, romance, crime",Suresh Krissna,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Indira,1995,Tamil,action,"action, romance, drama, thriller",Suresh Krissna,Arvind Swamy,True,Verify if romance subplot is significant enough to tag as has_romance
Aasai,1995,Tamil,action,"action, romance, thriller, drama",Suresh Krissna,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Gundaraj,1995,Hindi,action,"action, romance, drama",Guddu Dhanoa,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Haqeeqat,1995,Hindi,action,"action, romance, drama, thriller",Kuku Kohli,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Sabse Bada Khiladi,1995,Hindi,action,"action, comedy, romance, thriller, crime",Umesh Mehra,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Trimurti,1995,Hindi,action,"action, drama, romance, crime",Mukul Anand,Shah Rukh Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Ravanudainatey,1995,Telugu,action,"action, drama, romance",Dasari Narayana Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Iddaru Mitrulu,1995,Telugu,action,"action, comedy, romance, drama",S. V. Krishna Reddy,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Nippu Ravva,1995,Telugu,action,"action, drama, romance",A. Kodandarami Reddy,Balakrishna,True,Verify if romance subplot is significant enough to tag as has_romance
Takkar,1995,Hindi,action,"action, thriller, romance",Guddu Dhanoa,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Barsaat,1995,Hindi,action,"action, romance, drama, thriller",Rajkumar Santoshi,Sunny Deol,False,Verify if romance subplot is significant enough to tag as has_romance
Naadodi Thendral,1995,Tamil,action,"action, drama, romance",Hari,Sathyaraj,True,Verify if romance subplot is significant enough to tag as has_romance
Engirundho Vandhan,1995,Tamil,action,"action, romance, drama",T. Rajendar,Sathyaraj,True,Verify if romance subplot is significant enough to tag as has_romance
Jeet,1996,Hindi,action,"action, romance, drama, thriller",Raj Kanwar,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Krishna,1996,Telugu,action,"action, romance, drama, comedy",A. Kodanda Rami Reddy,Venkatesh,True,Verify if romance subplot is significant enough to tag as has_romance
Khiladiyon Ka Khiladi,1996,Hindi,action,"action, thriller, romance",Umesh Mehra,Akshay Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Ramudochadu,1996,Telugu,action,"action, comedy, romance, drama",A. Kodandarami Reddy,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Maanbumigu Maruthanayagam,1996,Tamil,action,"action, drama, romance",S. A. Chandrasekhar,Vijay,True,Verify if romance subplot is significant enough to tag as has_romance
Sivasakthi,1996,Tamil,action,"action, comedy, romance, drama",Suresh Krissna,Sathyaraj,True,Verify if romance subplot is significant enough to tag as has_romance
Thammudu,1997,Telugu,action,"action, comedy, romance, drama",Puri Jagannadh,Pawan Kalyan,True,Verify if romance subplot is significant enough to tag as has_romance
Ratchagan,1997,Tamil,action,"action, thriller, crime, romance",K. S. Ravikumar,Nagarjuna,True,Verify if romance subplot is significant enough to tag as has_romance
Koyla,1997,Hindi,action,"action, romance, drama, thriller",Rakesh Roshan,Shah Rukh Khan,False,Verify if romance subplot is significant enough to tag as has_romance
Itihaas,1997,Hindi,action,"action, romance, drama",Partho Ghosh,Ajay Devgn,True,Verify if romance subplot is significant enough to tag as has_romance
Auzaar,1997,Hindi,action,"action, romance, drama, thriller",Sohail Khan,Salman Khan,True,Verify if romance subplot is significant enough to tag as has_romance
Hitler,1997,Telugu,action,"action, comedy, romance, drama, family",K. Raghavendra Rao,Chiranjeevi,True,Verify if romance subplot is significant enough to tag as has_romance
Ziddi,1997,Hindi,action,"action, thriller, romance",Guddu Dhanoa,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Lahoo Ke Do Rang,1997,Hindi,action,"action, drama, romance, thriller",Mahesh Bhatt,Sunny Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Vallal,1997,Tamil,action,"action, drama, romance",Raj Kapoor,Sathyaraj,True,Verify if romance subplot is significant enough to tag as has_romance
Periya Manushan,1997,Tamil,action,"action, drama, romance",A. Jagannathan,Sathyaraj,True,Verify if romance subplot is significant enough to tag as has_romance
Pagaivan,1997,Tamil,action,"action, drama, romance",K. Subash,Sathyaraj,True,Verify if romance subplot is significant enough to tag as has_romance
Soldier,1998,Hindi,action,"action, romance, thriller",Abbas-Mastan,Bobby Deol,True,Verify if romance subplot is significant enough to tag as has_romance
Anbazhagan,1998,Tamil,action,"action, comedy, romance, drama",K. S. Ravikumar,Rajinikanth,True,Verify if romance subplot is significant enough to tag as has_romance
Aval Varuvala,1998,Tamil,action,"action, romance, comedy, drama",R. Sundarrajan,Ajith Kumar,True,Verify if romance subplot is significant enough to tag as has_romance
Ghulam,1998,Hindi,action,"action, romance, drama, thriller",Vikram Bhatt,Aamir Khan,True,Verify if romance subplot is significant enough to tag as has_romance
